Monomer A,Monomer B,IP vs SHE (eV),EA vs SHE (eV),Optical Gap (eV),Oscillator Strength (a.u.)
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1)Br)CC#N)Br,1.6064,-2.9977,4.1827,2.2234
Brc1ccc(Br)cc1,CC(C)(C)C1=CC(=C(C(=C1)Br)O)Br,1.087,-2.749,3.4101,1.5716
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)N)CO)Br,0.5104,-3.068,3.2596,0.5466
Brc1ccc(Br)cc1,COC1=CC(=C(C=C1Br)Br)OC,0.846,-2.7866,3.3498,1.8257
Brc1ccc(Br)cc1,CC(=S)NC1=C(C=CC(=C1)Br)Br,0.9544,-2.1676,3.4314,2.0057
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1)Br)Br)C(=O)O,1.8661,-2.1575,4.091,0.369
Brc1ccc(Br)cc1,CN(CC1=CC(=CC(=C1N)Br)Br)C2CCCCC2,0.5746,-3.0093,3.2715,0.5909
Brc1ccc(Br)cc1,COC(=O)C(CC1=CC(=C(C(=C1)Br)O)Br)N,1.1017,-2.7262,3.4526,1.1523
Brc1ccc(Br)cc1,C1=C(C(=C(C(=C1O)Br)C(=O)O)Br)O,1.1946,-2.3669,3.1738,0.5302
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1Br)N)N)Br,0.2309,-3.1407,3.5954,2.5939
Brc1ccc(Br)cc1,CC1=CC(=C(C=C1Br)Br)C,1.2759,-2.9522,4.0748,1.8218
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)F)C=O)Br,1.5907,-1.7331,3.8682,2.0021
Brc1ccc(Br)cc1,CC(=O)C1=CC(=CC(=C1N)Br)Br,0.6319,-2.3078,2.7505,0.5061
Brc1ccc(Br)cc1,COC1=CC(=C(C(=C1)Br)N)Br,0.4131,-3.0137,2.9775,1.1022
Brc1ccc(Br)cc1,CC1=C(C=C(C=C1N)Br)Br,0.7214,-3.014,3.9958,0.9061
Brc1ccc(Br)cc1,CC1=C(C=C(C=C1[N+](=O)[O-])Br)Br,1.5808,-1.2527,3.6081,0.059
Brc1ccc(Br)cc1,COC(=O)C1=CC(=CC(=C1Br)C(=O)OC)Br,2.0392,-1.7606,3.7679,2.8916
Brc1ccc(Br)cc1,C1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)Br)Br,1.1633,-2.3239,3.4228,1.0123
Brc1ccc(Br)cc1,C1=CC=C(C=C1)C(=S)NC2=C(C=CC(=C2)Br)Br,0.8885,-1.7274,3.0624,0.8581
Brc1ccc(Br)cc1,CCOC1=C(C=C(C=C1Br)F)Br,1.453,-2.4814,3.5164,1.0939
Brc1ccc(Br)cc1,C1=C(C=C(C=C1Br)Br)CC(F)(F)F,1.3422,-2.5509,3.7475,2.101
Brc1ccc(Br)cc1,CCOC(=O)C1=C(C=CC(=C1)Br)Br,1.5572,-2.0638,3.5265,2.3869
Brc1ccc(Br)cc1,CC(C(=O)O)OC1=C(C=C(C=C1)Br)Br,1.151,-2.5797,3.5461,1.1192
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)O)Br)C(=O)NN,0.9881,-2.7597,3.4688,0.9829
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)Br)OCC(=O)NN,0.9183,-2.8202,3.552,1.1024
Brc1ccc(Br)cc1,CC(C(=O)NN)OC1=C(C=C(C=C1)Br)Br,0.8632,-2.8421,3.4807,0.559
Brc1ccc(Br)cc1,CC1=CC(=C(C(=C1)Br)NCC(=O)NN)Br,0.8553,-2.8325,3.2639,0.6037
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)Br)NC(=O)CC#N,0.9636,-2.7553,3.5614,0.8778
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)Br)OCC(=O)Cl,1.1269,-2.2722,3.5741,0.8444
Brc1ccc(Br)cc1,CC(C(=O)Cl)OC1=C(C=C(C=C1)Br)Br,1.1479,-2.2199,3.5512,0.8035
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)O)Br)CC(C(=O)O)N,1.13,-2.5538,3.4857,1.7765
Brc1ccc(Br)cc1,CN=[N+](C1=CC(=CC(=C1N)Br)Br)[O-],0.7416,-1.8222,2.6425,0.5992
Brc1ccc(Br)cc1,CC(C)(C)N=[N+](C1=CC(=CC(=C1N)Br)Br)[O-],0.7518,-1.6351,3.3871,0.1342
Brc1ccc(Br)cc1,CS(=NC1=C(C=C(C=C1[N+](=O)[O-])Br)Br)(=O)C,0.9989,-1.401,3.0191,0.1801
Brc1ccc(Br)cc1,CC(C)(C)N=[N+](C1=C(C=C(C=C1[N+](=O)[O-])Br)Br)[O-],1.9559,-0.8782,3.4857,0.1302
Brc1ccc(Br)cc1,CC1=C(C=C(C=C1Br)NCC(=O)NN)Br,0.6936,-3.1125,4.0179,0.0935
Brc1ccc(Br)cc1,C1CC(CCC1NCC2=CC(=CC(=C2N)Br)Br)O,0.5322,-3.0548,3.2971,0.6987
Brc1ccc(Br)cc1,CC(=O)OC1=C(C=C(C=C1Br)C=O)Br,1.8455,-1.638,3.8546,0.596
Brc1ccc(Br)cc1,COC1=C(C=C(C=C1Br)C=O)Br,1.5354,-1.8018,3.6711,1.0711
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)N)Br)O,0.3594,-3.0607,3.0574,1.025
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)Br)CC(=O)O,1.4867,-2.6615,4.0145,1.6078
Brc1ccc(Br)cc1,C1=C(C(=CC(=C1Br)F)Br)C#N,1.4915,-2.0145,3.4713,4.0943
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)CN)Br,1.1496,-2.8149,3.8011,4.0684
Brc1ccc(Br)cc1,COC1=C(C=C(C=C1Br)CN)Br,1.1162,-2.739,3.5401,1.4618
Brc1ccc(Br)cc1,CC(=O)NC1=CC(=CC(=C1)Br)Br,1.3669,-2.5468,3.484,0.5915
Brc1ccc(Br)cc1,CC(C)OC1=C(C=C(C=C1Br)F)Br,1.424,-2.4794,3.4943,1.4958
Brc1ccc(Br)cc1,C1=C(C(=C(C(=C1O)Br)O)Br)O,0.7838,-3.1482,3.5044,2.3744
Brc1ccc(Br)cc1,COC1=C(C=C(C=C1C#N)Br)Br,1.2457,-2.3938,3.3123,0.8172
Brc1ccc(Br)cc1,CCCOC1=C(C=C(C=C1C=O)Br)Br,1.3636,-1.7718,3.8572,2.4857
Brc1ccc(Br)cc1,CC(C)OC1=C(C=C(C=C1C=O)Br)Br,1.3913,-1.781,3.8411,0.1862
Brc1ccc(Br)cc1,C1=CC=C(C=C1)COC2=C(C=C(C=C2C=O)Br)Br,1.4233,-1.7529,3.8563,1.2887
Brc1ccc(Br)cc1,CCOC1=C(C=C(C=C1Br)C=CC(=O)O)Br,1.2839,-1.8461,3.3243,0.7137
Brc1ccc(Br)cc1,COC(=O)COC1=C(C=C(C=C1Br)C=CC(=O)O)Br,1.5538,-1.7426,3.3421,0.7715
Brc1ccc(Br)cc1,CCCOC1=C(C=C(C=C1Br)C=CC(=O)O)Br,1.3307,-1.8383,3.3336,0.863
Brc1ccc(Br)cc1,CCCCOC1=C(C=C(C=C1C=CC(=O)O)Br)Br,1.2894,-1.8073,3.6549,1.4326
Brc1ccc(Br)cc1,CCOC1=C(C=C(C=C1C=CC(=O)O)Br)Br,1.3106,-1.7599,3.6744,1.6907
Brc1ccc(Br)cc1,CC(C)OC1=C(C=C(C=C1Br)C=CC(=O)O)Br,1.383,-1.7664,3.3294,1.0348
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1)Br)C#N)Br,1.6606,-2.1392,3.6013,1.3473
Brc1ccc(Br)cc1,C1=CC=C(C=C1)COC2=C(C=C(C=C2)Br)Br,0.9944,-2.7092,3.5155,0.6109
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1Br)C=O)F)Br,1.5445,-1.6673,3.3582,1.7105
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)O)Br)CC(C(=O)O)N,0.9812,-2.7454,3.4127,1.1119
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1N)Br)F)Br,0.6221,-2.9371,3.428,0.8936
Brc1ccc(Br)cc1,COC(=O)C(CC1=CC(=C(C(=C1)Br)O)Br)N,1.1648,-2.6397,3.4152,1.3867
Brc1ccc(Br)cc1,C1=C(C(=C(C(=C1F)Br)[N+](=O)[O-])Br)F,2.0618,-1.1508,3.4535,0.0269
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)[N+](=O)[O-])Br)Cl,2.0654,-1.1042,3.3735,0.5022
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)Br)C(=O)N,1.4734,-2.36,3.6795,1.0691
Brc1ccc(Br)cc1,COC1=C(C(=C(C=C1Br)Br)OC)C(=O)O,1.5712,-2.1983,3.8708,1.2949
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1)Br)CN)Br,1.3648,-3.089,4.1879,2.8666
Brc1ccc(Br)cc1,[C-]#[N+]c1ccc(Br)cc1Br,1.4411,-2.2141,3.6932,1.4098
Brc1ccc(Br)cc1,C1=C(C(=CC(=C1Br)C(=O)Cl)Br)C(=O)Cl,2.0153,-0.7789,3.1177,0.9116
Brc1ccc(Br)cc1,C1=C(C=C(C=C1Br)Br)C(=S)N,0.9251,-2.0084,3.4739,0.2383
Brc1ccc(Br)cc1,C1=C(C=C(C=C1Br)Br)C(F)F,1.4041,-2.5387,3.7229,0.7296
Brc1ccc(Br)cc1,C1CC(CCC1NCC2=CC(=CC(=C2N)Br)Br)O,0.5029,-3.047,3.2911,0.5917
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)F)Br)Cl,1.6594,-2.37,3.6566,0.8614
Brc1ccc(Br)cc1,C1=C(C(=C(C(=C1Br)F)Br)N)Cl,0.8035,-2.7342,3.5419,0.548
Brc1ccc(Br)cc1,CCOC(=O)C1=C(C=C(C=C1)Br)Br,1.7736,-1.9365,3.8623,2.2469
Brc1ccc(Br)cc1,C1=C(C=C(C(=C1Br)O)CBr)Br,0.8892,-2.9039,3.4815,1.5249
Brc1ccc(Br)cc1,C1=CC2=C(C=C1Br)SC3=C2C=CC(=C3)Br,0.9611,-2.2769,3.3752,7.3559
Brc1ccc(Br)cc1,CC1=NC(=C(C=C1Br)Br)N,0.6773,-2.9643,3.3974,0.7422
Brc1ccc(Br)cc1,Brc3ccc(c2ccc(c1ccc(Br)cc1)cc2)cc3,0.9487,-2.335,3.5164,10.4888
Brc1ccc(Br)cc1,C1=CC(=NC=C1Br)C2=NC=C(C=C2)Br,1.273,-1.7575,3.252,7.3378
Brc1ccc(Br)cc1,O=c2c1cc(Br)ccc1c3ccc(Br)cc23,1.138,-1.1921,2.4547,0.5992
Brc1ccc(Br)cc1,CC1=C(C=CC(=N1)Br)Br,1.2739,-2.0562,3.2843,4.4705
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)[N+](=O)[O-])Br,1.54,-1.2028,3.076,0.5539
Brc1ccc(Br)cc1,Brc2ccc(c1ccc(Br)s1)s2,0.134,-1.7077,2.2311,6.8032
Brc1ccc(Br)cc1,C1=C(N=C(S1)Br)Br,0.9601,-1.9559,2.9732,2.4787
Brc1ccc(Br)cc1,C1=C(C=NC(=C1Br)N)Br,0.6268,-2.907,3.3276,1.1349
Brc1ccc(Br)cc1,C1COC2=C(C=C(C=C21)Br)Br,0.8508,-2.7462,3.3846,0.5213
Brc1ccc(Br)cc1,C1=CN=C(C=C1Br)Br,1.6085,-2.0337,3.4398,2.941
Brc1ccc(Br)cc1,C1=C(C=NC(=C1Br)F)Br,1.5334,-2.3728,3.6821,3.2858
Brc1ccc(Br)cc1,C1=C(C(=CN=C1Br)Br)C(=O)O,1.638,-1.4911,3.2529,2.8988
Brc1ccc(Br)cc1,COC1=C(C=C(C=N1)Br)Br,1.1646,-2.4892,3.5053,2.6685
Brc1ccc(Br)cc1,CC1=C(C(=NC=C1Br)N)Br,0.7799,-3.0891,3.4526,1.1195
Brc1ccc(Br)cc1,CC1=C(C(=NC=C1Br)F)Br,1.6565,-2.6665,3.9082,1.7456
Brc1ccc(Br)cc1,C1(=C(SC(=C1[N+](=O)[O-])Br)Br)[N+](=O)[O-],1.6345,-0.8531,2.7165,0.9683
Brc1ccc(Br)cc1,C1=C(C(=CN=C1Br)[N+](=O)[O-])Br,1.9707,-0.833,3.2622,1.8533
Brc1ccc(Br)cc1,C1(=C(N=C(N1)Br)[N+](=O)[O-])Br,1.3203,-1.3144,2.7641,0.8169
Brc1ccc(Br)cc1,C1=C(C=C(N=C1Br)Br)[N+](=O)[O-],1.6776,-0.8276,2.9519,1.0596
Brc1ccc(Br)cc1,C1=C2C(=C(C(=C1Br)N)Br)N=CN2,0.4208,-2.8469,2.9477,1.0345
Brc1ccc(Br)cc1,CC1=NC(=C(C=C1Br)Br)F,1.492,-2.4803,3.734,2.7356
Brc1ccc(Br)cc1,C1=C(C=C(N=C1Br)Br)C(=O)O,1.7126,-1.4236,3.1492,0.8948
Brc1ccc(Br)cc1,C1=C(SC(=N1)Br)Br,0.8249,-1.5269,2.4887,4.7457
Brc1ccc(Br)cc1,C1C2=CC(=CC(=C2NC1=O)Br)Br,0.937,-2.721,3.3931,0.7799
Brc1ccc(Br)cc1,C1=CC(=NC(=C1C(=O)O)Br)Br,1.8679,-1.4394,3.3999,1.6562
Brc1ccc(Br)cc1,C1=CC(=NN=C1Br)Br,1.5752,-1.5632,3.1322,4.793
Brc1ccc(Br)cc1,C1=CN=C(N=C1Br)Br,1.8509,-1.5478,3.4789,3.1643
Brc1ccc(Br)cc1,C1=C(N=C(C(=O)N1)Br)Br,1.0271,-1.6038,2.6714,2.4731
Brc1ccc(Br)cc1,CC1=C(C=NC=C1Br)Br,1.4927,-2.7877,3.9575,0.9986
Brc1ccc(Br)cc1,C1=CC(=NC(=C1N)Br)Br,0.6051,-2.4143,2.9333,1.8326
Brc1ccc(Br)cc1,CC1=C(SC(=C1Br)C)Br,0.7793,-2.6832,3.4254,3.1894
Brc1ccc(Br)cc1,C1=CC(=C2C(=C1Br)C=CN2)Br,0.4983,-2.6085,3.0004,3.2587
Brc1ccc(Br)cc1,C1=C(C(=CN=C1Br)F)Br,1.6775,-1.896,3.5325,3.046
Brc1ccc(Br)cc1,CN1C(=NC(=N1)Br)Br,1.4599,-2.1801,3.3208,2.6113
Brc1ccc(Br)cc1,C1=C(C(=NC=C1Br)Br)Cl,1.476,-1.8714,3.314,4.4781
Brc1ccc(Br)cc1,CC1=CC(=NC=C1Br)Br,1.3133,-2.136,3.3268,4.2851
Brc1ccc(Br)cc1,C1=CSC(=C1Br)C2=C(C=CS2)Br,0.6323,-2.2139,3.9082,0.7801
Brc1ccc(Br)cc1,C1(=C(NN=C1Br)Br)[N+](=O)[O-],1.9155,-1.2681,3.2307,0.512
Brc1ccc(Br)cc1,C1(=NC(=NN1)Br)Br,1.4644,-2.2448,3.3378,3.2866
Brc1ccc(Br)cc1,C1=C(C(=O)C(=CN1)Br)Br,0.8864,-2.4967,3.037,2.5882
Brc1ccc(Br)cc1,C1=CC2=C(C=C1Br)C(=CO2)Br,0.957,-2.7221,3.518,2.2989
Brc1ccc(Br)cc1,C1=CC=C(C=C1)CN2C(=NC(=N2)Br)Br,1.5739,-2.1324,3.4092,2.9061
Brc1ccc(Br)cc1,C1=C(C(=C(C=N1)Br)C#N)Br,1.7753,-1.6833,3.5835,1.8707
Brc1ccc(Br)cc1,C1=CC2=C(C=C1Br)N=C(S2)Br,1.2275,-1.88,3.1662,4.6254
Brc1ccc(Br)cc1,C1=C(C(=NC=C1Br)Br)C(=O)O,1.6673,-1.6565,3.3336,3.7472
Brc1ccc(Br)cc1,C1=CC2=C(C=C1Br)SC(=N2)Br,1.1493,-1.6692,3.0429,5.9023
Brc1ccc(Br)cc1,C1=CC2=NC(=NC=C2C=C1Br)Br,1.3516,-1.4934,3.0879,4.3518
Brc1ccc(Br)cc1,CC1=C(C=C(C(=N1)C)Br)Br,1.3911,-2.7006,3.8895,0.8262
Brc1ccc(Br)cc1,C1=C(C(=NC=C1Br)Br)[N+](=O)[O-],1.6782,-1.0045,3.0233,1.0543
Brc1ccc(Br)cc1,C(=O)C1=C(N=C(S1)Br)Br,1.5197,-0.9007,2.8083,0.7193
Brc1ccc(Br)cc1,C1(=C(N=C(S1)Br)Br)C(=O)O,1.5203,-1.1274,3.0344,0.8214
Brc1ccc(Br)cc1,C1=CC=C2C(=C1)C(=NC(=N2)Br)Br,1.6927,-1.2696,3.2809,1.2941
Brc1ccc(Br)cc1,C(C1=C(N=C(S1)Br)Br)O,0.9149,-2.0065,3.0888,2.845
Brc1ccc(Br)cc1,C1=CC2=NNC(=C2C=C1Br)Br,0.5687,-2.2363,2.8083,2.9353
Brc1ccc(Br)cc1,C1=CC=C2C(=C1)C(=CN=C2Br)Br,1.2216,-1.8626,3.0361,3.0694
Brc1ccc(Br)cc1,C1=CC=C2C(=C1)C=C(N=C2Br)Br,1.1851,-1.8389,3.1967,1.1878
Brc1ccc(Br)cc1,C1(=C(N=C(C(=N1)Cl)Br)Br)N,0.9668,-1.8836,2.9732,1.7241
Brc1ccc(Br)cc1,C1=C(C(=C(C=N1)Br)C=O)Br,1.5164,-1.3904,3.45,0.8024
Brc1ccc(Br)cc1,C1=C(N=C(C2=NC=NN21)Br)Br,1.4078,-1.5856,3.0183,2.4831
Brc1ccc(Br)cc1,CCOC(=O)C1=C(SC(=N1)Br)Br,1.5095,-1.2092,2.8457,3.7465
Brc1ccc(Br)cc1,CC1=CC(=CC(=C1)Br)Br,1.2777,-2.7047,3.7637,1.3338
Brc1ccc(Br)cc1,C1=CC2=C(C=C1Br)C(=O)C3=C(C2=O)C=C(C=C3)Br,1.7691,-0.5412,2.9256,1.1092
Brc1ccc(Br)cc1,C1=CC2=CC(=CN=C2C3=NC=C(C=C31)Br)Br,1.3628,-1.8514,3.4739,7.8865
Brc1ccc(Br)cc1,O=n1cc(Br)ccc1Br,1.2827,-1.9321,2.64,1.0305
Brc1ccc(Br)cc1,C1=C(C2=NSN=C2C(=C1)Br)Br,1.0142,-0.7422,2.5618,4.0728
Brc1ccc(Br)cc1,C1=CC=C(C(=C1)Br)Br,1.396,-2.8434,3.7178,0.8154
Brc1ccc(Br)cc1,CC1=C(N=C(N1)Br)Br,0.4649,-2.6993,3.0174,3.8625
Brc1ccc(Br)cc1,CCOC1=C(N=C(C(=C1)N)Br)Br,0.5835,-2.4162,2.9876,1.9666
Brc1ccc(Br)cc1,COC(=O)C1=NC(=CN=C1Br)Br,1.8467,-1.1814,3.1024,0.5418
Brc1ccc(Br)cc1,COC(=O)C1=NC=C(N=C1Br)Br,1.9317,-1.0524,3.2596,1.1173
Brc1ccc(Br)cc1,C1=C(N=C(C(=N1)Cl)Br)Br,1.6958,-1.4848,3.3149,2.0345
Brc1ccc(Br)cc1,C1=C(N=C(C(=N1)Br)C(=O)O)Br,1.7659,-1.1883,3.0421,1.4391
Brc1ccc(Br)cc1,CC1=CC(=NC(=C1)Br)Br,1.3824,-2.078,3.3072,1.5513
Brc1ccc(Br)cc1,C1=C(C=NC(=N1)Br)Br,1.5232,-1.593,3.0794,2.6739
Brc1ccc(Br)cc1,CN1C=C(N=C(C1=O)Br)Br,1.0341,-1.5699,2.6629,2.1184
Brc1ccc(Br)cc1,C1=C(C(=C(C=N1)Br)N)Br,0.8696,-2.9713,3.4398,1.4962
Brc1ccc(Br)cc1,COC(=O)C1=C(SC(=N1)Br)Br,1.4879,-1.1771,2.7794,3.526
Brc1ccc(Br)cc1,C1=C(N=C(C=N1)Br)Br,1.5346,-1.6311,3.2206,3.238
Brc1ccc(Br)cc1,CN1C=C(C=C(C1=O)Br)Br,0.8334,-2.3657,2.8992,1.7884
Brc1ccc(Br)cc1,C1=C(N=C(N=C1Br)N)Br,1.368,-1.5893,2.9876,2.2515
Brc1ccc(Br)cc1,CN(C)C1=NC=C(N=C1Br)Br,0.9232,-1.8479,2.7607,1.8801
Brc1ccc(Br)cc1,C1=C(N=CN=C1Br)Br,1.8633,-1.3617,3.2809,3.8989
Brc1ccc(Br)cc1,C1=CN2C=C(N=C(C2=N1)Br)Br,1.2252,-1.7441,2.9987,2.2435
Brc1ccc(Br)cc1,C1=C(C=[N+](C=C1Br)[O-])Br,1.4261,-2.2382,3.4024,0.0055
Brc1ccc(Br)cc1,C1=C(SC2=C1SC(=C2)Br)Br,0.2351,-1.8143,2.2847,7.2202
Brc1ccc(Br)cc1,C1=CC(=NC(=C1O)Br)Br,1.0693,-2.1808,3.0726,2.0376
Brc1ccc(Br)cc1,C1COC2=C(SC(=C2O1)Br)Br,0.3527,-1.7985,2.2864,4.8094
Brc1ccc(Br)cc1,C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1,0.8599,-2.0587,3.0514,0.6687
Brc1ccc(Br)cc1,CC1=C(C=C(C=N1)Br)Br,1.3892,-2.582,3.796,2.075
Brc1ccc(Br)cc1,CC1=CN2C=C(N=C(C2=N1)Br)Br,1.2239,-1.7594,2.9809,2.0374
Brc1ccc(Br)cc1,C1=CC2=C(C(=C1)Br)N=C(C=C2)Br,1.3417,-1.6026,3.0548,1.2378
Brc1ccc(Br)cc1,CCCCC1=C(SC(=C1)Br)Br,0.5373,-2.0787,2.6502,3.8362
Brc1ccc(Br)cc1,CCCCCCC1=C(SC(=C1)Br)Br,0.5123,-2.0391,2.6026,3.9223
Brc1ccc(Br)cc1,CCCCCCCCC1=C(SC(=C1)Br)Br,0.5432,-2.107,2.697,4.0149
Brc1ccc(Br)cc1,CCc1cc(Br)sc1Br,0.4771,-2.0085,2.5414,4.3949
Brc1ccc(Br)cc1,C1=C(NC(=N1)Br)Br,0.4483,-2.3715,2.6366,4.2611
Brc1ccc(Br)cc1,CN1C=C(N=C1Br)Br,0.6507,-2.6534,3.0658,3.7095
Brc1ccc(Br)cc1,CN1C(=CN=C1Br)Br,0.6558,-2.4682,2.9171,3.9269
Brc1ccc(Br)cc1,C1=CC(=C(C=C1Br)C(=O)O)Br,1.5363,-2.0779,3.5147,2.3101
Brc1ccc(Br)cc1,C1=CC(=NC(=C1Br)N)Br,0.6975,-2.2952,2.9154,3.095
Brc1ccc(Br)cc1,C1=CC(=NC=C1Br)Br,1.2259,-1.9601,3.122,4.7527
Brc1ccc(Br)cc1,C1=CC2=C(C=CC(=C2)Br)C=C1Br,0.9147,-2.2504,3.1934,4.214
Brc1ccc(Br)cc1,C1=C(C(=NC=C1Br)Br)N,0.7636,-2.341,2.9434,2.7086
Brc1ccc(Br)cc1,C1=C(N=C(C(=N1)Br)N)Br,0.8804,-1.7033,2.6714,3.7221
Brc1ccc(Br)cc1,CC1=C(N=C(N1C)Br)Br,0.6131,-2.7344,3.1517,3.5065
Brc1ccc(Br)cc1,C1=CC(=NC(=C1F)Br)Br,1.5149,-1.972,3.2715,2.374
Brc1ccc(Br)cc1,C1=C(C(=NC=C1Br)Br)F,1.3902,-1.8412,3.1619,4.6614
Brc1ccc(Br)cc1,CC1=CC(=C(N=C1Br)Br)C,1.4154,-2.364,3.6472,1.7678
Brc1ccc(Br)cc1,CC1=NC(=C(C(=C1)Br)N)Br,0.7485,-2.5022,3.1075,1.6701
Brc1ccc(Br)cc1,CC1=CC(=NC(=C1N)Br)Br,0.6209,-2.4266,2.9299,1.7064
Brc1ccc(Br)cc1,CC1=C(C=C(C(=O)N1)Br)Br,0.7904,-2.4735,2.923,2.3308
Brc1ccc(Br)cc1,COC1=C(C=NC=C1Br)Br,1.5668,-2.4179,3.6124,2.4288
Brc1ccc(Br)cc1,C1=C(C(=C(C=N1)Br)Cl)Br,1.7571,-2.3318,3.9456,2.5058
Brc1ccc(Br)cc1,C1=CC2=NC=C(N2C=C1Br)Br,0.6573,-2.6815,2.9868,0.8156
Brc1ccc(Br)cc1,C1=CC(=NC(=C1Br)C(=O)O)Br,1.6446,-1.7947,3.5248,2.5272
Brc1ccc(Br)cc1,C1=CC(=NC(=C1Br)Br)C(=O)O,1.6451,-1.6949,3.5741,0.5481
Brc1ccc(Br)cc1,CC1=NC(=C(C=C1Br)Br)Cl,1.5581,-2.4135,3.9405,1.8582
Brc1ccc(Br)cc1,C1=CC(=C2C=NC=CC2=C1Br)Br,1.1179,-2.0337,3.0956,3.1139
Brc1ccc(Br)cc1,C1=C(C(=O)NC(=C1Br)Cl)Br,1.0103,-2.0898,2.9876,1.7364
Brc1ccc(Br)cc1,CC1=CN2C(=CN=C2C(=C1)Br)Br,0.6831,-2.4447,2.8822,1.4305
Brc1ccc(Br)cc1,COC(=O)C1=C(C=CC(=N1)Br)Br,1.704,-1.6537,3.275,2.0866
Brc1ccc(Br)cc1,C1=C(C(=C(N=C1C(=O)O)Br)O)Br,1.4443,-1.8719,3.2715,1.6545
Brc1ccc(Br)cc1,C1CCN(C1)C2=CC(=CC(=C2)Br)Br,0.6334,-2.7914,3.7237,0.0475
Brc1ccc(Br)cc1,CCOC(=O)C1=C(C=CC(=N1)Br)Br,1.7016,-1.6532,3.2647,1.2873
Brc1ccc(Br)cc1,C1=C(C2=NC=C(N2C=C1Cl)Br)Br,0.8223,-2.2159,2.8516,2.3796
Brc1ccc(Br)cc1,CC1(C2=CC(=CC(=C2NC1=O)Br)Br)C,1.0188,-2.6817,3.4118,0.6354
Brc1ccc(Br)cc1,C1CCN(CC1)C2=CC(=CC(=C2)Br)Br,0.7584,-2.7176,3.8087,0.9441
Brc1ccc(Br)cc1,C1=C(C(=C(C(=O)N1)Br)C(F)(F)F)Br,1.2666,-1.843,2.9715,1.2312
Brc1ccc(Br)cc1,C1COCCN1C2=CC(=CC(=C2)Br)Br,0.7055,-2.7833,3.8521,2.1323
Brc1ccc(Br)cc1,C1=C2C(=C(C(=C1Br)N)Br)OC(O2)(F)F,0.6599,-2.3433,3.0939,1.0414
Brc1ccc(Br)cc1,C1=CC=C(C=C1)COC2=C(C=C(C=N2)Br)Br,1.1992,-2.4932,3.5444,2.6791
Brc1ccc(Br)cc1,C1=C(C(=CN=C1Br)Br)C(F)(F)F,1.5862,-1.8349,3.3523,4.2529
Brc1ccc(Br)cc1,C1=CN=C(C=C1Br)C2=NC=CC(=C2)Br,1.8425,-1.8716,3.609,2.9688
Brc1ccc(Br)cc1,C1=C(C(=CN=C1Br)C=O)Br,1.753,-1.2464,3.2987,2.9327
Brc1ccc(Br)cc1,C1=CC(=C(C(=C1)Br)C2=C(N=C3C(=C2)C=NC(=N3)N)N)Br,1.0775,-2.0832,3.8308,0.0432
Brc1ccc(Br)cc1,COC1=C(C=C(C2=C1N=CC=C2)Br)Br,0.922,-1.9964,3.1687,0.9125
Brc1ccc(Br)cc1,COC1=CC(=C2C(=C1Br)C=CC=N2)Br,1.0177,-1.8244,2.7981,2.4415
Brc1ccc(Br)cc1,C1=C(C=C(N=C1Br)Br)N,1.1718,-2.3419,3.5316,2.8117
Brc1ccc(Br)cc1,C1=CC2=C(C3=NSN=C3C(=C2C=C1)Br)Br,0.7173,-0.4559,2.0629,3.0135
Brc1ccc(Br)cc1,C1=C2C(=CNC2=NC=C1Br)Br,0.7121,-2.6988,3.1899,1.4403
Brc1ccc(Br)cc1,C1=C(SC(=C1Br)C(=O)O)Br,1.2813,-1.5024,3.0267,3.2114
Brc1ccc(Br)cc1,C1=C(C(=NC(=C1Br)Cl)N)Br,0.834,-2.6706,3.3421,0.6384
Brc1ccc(Br)cc1,C1=C(C=NC(=C1Br)[N+](=O)[O-])Br,1.901,-0.9129,3.2979,0.5762
Brc1ccc(Br)cc1,CC1=C(N=C(S1)Br)Br,0.8767,-2.0337,3.0038,2.8411
